vow,aspect,slice,n,gold_earned_mean,end_gold_mean,deck_mean,hp_mean,max_hp_mean
0,duskblade,all,200,937.860,267.010,41.100,45.200,61.520
0,duskblade,win,178,986.309,274.809,42.483,50.787,60.910
0,duskblade,loss,22,545.864,203.909,29.909,0.000,66.455
0,duskblade,boss_act1,194,,213.933,20.588,51.954,70.887
0,duskblade,boss_act2,185,,314.843,31.768,49.449,64.562
0,duskblade,boss_act3,178,,274.809,42.483,50.787,60.910
0,ashwarden,all,200,955.285,298.780,42.040,56.240,69.920
0,ashwarden,win,185,980.427,296.216,42.784,60.800,69.730
0,ashwarden,loss,15,645.200,330.400,32.867,0.000,72.267
0,ashwarden,boss_act1,198,,212.146,20.702,56.303,79.030
0,ashwarden,boss_act2,192,,337.797,31.812,52.865,72.583
0,ashwarden,boss_act3,185,,296.216,42.784,60.800,69.730
5,duskblade,all,200,800.310,262.665,38.360,31.230,63.550
5,duskblade,win,128,971.203,271.266,43.336,48.797,62.406
5,duskblade,loss,72,496.500,247.375,29.514,0.000,65.583
5,duskblade,boss_act1,176,,204.295,21.386,40.778,71.727
5,duskblade,boss_act2,148,,292.554,32.432,42.176,64.892
5,duskblade,boss_act3,128,,271.266,43.336,48.797,62.406
5,ashwarden,all,200,882.490,275.395,41.085,45.520,70.930
5,ashwarden,win,162,984.377,278.568,44.056,56.198,70.296
5,ashwarden,loss,38,448.132,261.868,28.421,0.000,73.632
5,ashwarden,boss_act1,194,,203.036,21.670,44.175,79.629
5,ashwarden,boss_act2,166,,310.030,33.006,46.265,72.855
5,ashwarden,boss_act3,162,,278.568,44.056,56.198,70.296
