vow,aspect,runs,wins,losses,stalls,errors,win_rate,wilson95_lower,wilson95_upper,seeds_first,seeds_last,pilot
0,duskblade,200,129,71,0,0,0.645000,0.576521,0.708014,4000,4199,p7-d2-v1
0,ashwarden,200,149,51,0,0,0.745000,0.680371,0.800395,4000,4199,p7-d2-v1
5,duskblade,200,64,136,0,0,0.320000,0.259265,0.387519,4000,4199,p7-d2-v1
5,ashwarden,200,84,116,0,0,0.420000,0.353736,0.489279,4000,4199,p7-d2-v1
