vow,aspect,runs,wins,losses,stalls,errors,win_rate,wilson95_lower,wilson95_upper,seeds_first,seeds_last,pilot
0,duskblade,200,178,22,0,0,0.890000,0.839073,0.926228,4000,4199,p8-d0-v1
0,ashwarden,200,185,15,0,0,0.925000,0.879956,0.954025,4000,4199,p8-d0-v1
5,duskblade,200,128,72,0,0,0.640000,0.571415,0.703308,4000,4199,p8-d0-v1
5,ashwarden,200,162,38,0,0,0.810000,0.749988,0.858328,4000,4199,p8-d0-v1
