vow,aspect,runs,wins,losses,stalls,errors,win_rate,wilson95_lower,wilson95_upper,seeds_first,seeds_last,pilot
0,duskblade,200,134,66,0,0,0.670000,0.602167,0.731426,4000,4199,p7-d1-v1
0,ashwarden,200,149,51,0,0,0.745000,0.680371,0.800395,4000,4199,p7-d1-v1
5,duskblade,200,54,146,0,0,0.270000,0.213234,0.335434,4000,4199,p7-d1-v1
5,ashwarden,200,83,117,0,0,0.415000,0.348943,0.484261,4000,4199,p7-d1-v1
