vow,aspect,act,n,mean,p25,p50,p75,min,max,in_6_10,share_in_6_10
0,duskblade,1,200,6.725000,6,7,8,3,12,154,0.770000
0,duskblade,2,190,6.568421,6,6,7,4,14,144,0.757895
0,duskblade,3,184,9.597826,8,9,10,3,16,137,0.744565
0,ashwarden,1,198,5.914141,5,6,6,4,8,138,0.696970
0,ashwarden,2,196,5.948980,5,6,7,3,9,125,0.637755
0,ashwarden,3,187,7.946524,7,8,9,4,14,173,0.925134
5,duskblade,1,198,7.505051,6,7,8,4,12,173,0.873737
5,duskblade,2,160,7.250000,6,7,8,4,12,141,0.881250
5,duskblade,3,140,10.157143,9,10,12,3,16,84,0.600000
5,ashwarden,1,199,6.587940,6,7,7,3,9,179,0.899497
5,ashwarden,2,175,6.451429,6,6,7,3,12,144,0.822857
5,ashwarden,3,163,8.484663,7,8,9,3,12,139,0.852761
