vow,aspect,runs,wins,losses,stalls,errors,win_rate,wilson95_lower,wilson95_upper,seeds_first,seeds_last,pilot
0,duskblade,200,134,66,0,0,0.670000,0.602167,0.731426,4000,4199,p7-d0-v1
0,ashwarden,200,152,48,0,0,0.760000,0.696267,0.813934,4000,4199,p7-d0-v1
5,duskblade,200,72,128,0,0,0.360000,0.296692,0.428585,4000,4199,p7-d0-v1
5,ashwarden,200,80,120,0,0,0.400000,0.334606,0.469163,4000,4199,p7-d0-v1
