vow,aspect,act,n,mean,p25,p50,p75,min,max,in_6_10,share_in_6_10
0,duskblade,1,200,6.675000,6,7,7,4,11,163,0.815000
0,duskblade,2,175,6.640000,6,6,7,4,12,144,0.822857
0,duskblade,3,140,9.378571,8,9,10,5,14,105,0.750000
0,ashwarden,1,200,6.190000,6,6,7,4,8,165,0.825000
0,ashwarden,2,182,6.071429,5,6,7,3,9,130,0.714286
0,ashwarden,3,155,8.219355,7,8,9,5,13,139,0.896774
5,duskblade,1,199,7.376884,6,7,8,3,14,172,0.864322
5,duskblade,2,125,7.320000,6,7,9,2,12,99,0.792000
5,duskblade,3,85,9.176471,8,9,10,3,17,56,0.658824
5,ashwarden,1,194,6.752577,6,7,7,4,9,174,0.896907
5,ashwarden,2,144,6.465278,6,7,7,2,9,114,0.791667
5,ashwarden,3,99,8.474747,7,9,10,3,12,74,0.747475
