item,aspect,control_wins,control_n,control_rate,ablation_wins,ablation_n,ablation_rate,delta,paired95_lower,paired95_upper,half_width,seeds_first,seeds_last
hollowCrown,duskblade,178,200,0.890000,163,200,0.815000,-0.075000,-0.120949,-0.029051,0.045949,4000,4199
hollowCrown,ashwarden,185,200,0.925000,191,200,0.955000,0.030000,-0.000787,0.060787,0.030787,4000,4199
hollowCrown,combined,363,400,0.907500,354,400,0.885000,-0.022500,-0.050596,0.005596,0.028096,4000,4199
duskmirror,duskblade,178,200,0.890000,178,200,0.890000,0.000000,-0.013894,0.013894,0.013894,4000,4199
duskmirror,ashwarden,185,200,0.925000,183,200,0.915000,-0.010000,-0.023824,0.003824,0.013824,4000,4199
duskmirror,combined,363,400,0.907500,361,400,0.902500,-0.005000,-0.014800,0.004800,0.009800,4000,4199
catalyst,duskblade,178,200,0.890000,178,200,0.890000,0.000000,0.000000,0.000000,0.000000,4000,4199
catalyst,ashwarden,185,200,0.925000,184,200,0.920000,-0.005000,-0.026957,0.016957,0.021957,4000,4199
catalyst,combined,363,400,0.907500,362,400,0.905000,-0.002500,-0.013468,0.008468,0.010968,4000,4199
emberLantern,duskblade,178,200,0.890000,174,200,0.870000,-0.020000,-0.043904,0.003904,0.023904,4000,4199
emberLantern,ashwarden,185,200,0.925000,186,200,0.930000,0.005000,-0.016957,0.026957,0.021957,4000,4199
emberLantern,combined,363,400,0.907500,360,400,0.900000,-0.007500,-0.023755,0.008755,0.016255,4000,4199
venomStrike,duskblade,178,200,0.890000,181,200,0.905000,0.015000,-0.006869,0.036869,0.021869,4000,4199
venomStrike,ashwarden,185,200,0.925000,186,200,0.930000,0.005000,-0.035501,0.045501,0.040501,4000,4199
venomStrike,combined,363,400,0.907500,367,400,0.917500,0.010000,-0.012990,0.032990,0.022990,4000,4199
virulence,duskblade,178,200,0.890000,177,200,0.885000,-0.005000,-0.026957,0.016957,0.021957,4000,4199
virulence,ashwarden,185,200,0.925000,190,200,0.950000,0.025000,-0.000760,0.050760,0.025760,4000,4199
virulence,combined,363,400,0.907500,367,400,0.917500,0.010000,-0.006967,0.026967,0.016967,4000,4199
warCry,duskblade,178,200,0.890000,182,200,0.910000,0.020000,-0.021589,0.061589,0.041589,4000,4199
warCry,ashwarden,185,200,0.925000,185,200,0.925000,0.000000,0.000000,0.000000,0.000000,4000,4199
warCry,combined,363,400,0.907500,367,400,0.917500,0.010000,-0.010791,0.030791,0.020791,4000,4199
eclipseSlash,duskblade,178,200,0.890000,177,200,0.885000,-0.005000,-0.067903,0.057903,0.062903,4000,4199
eclipseSlash,ashwarden,185,200,0.925000,185,200,0.925000,0.000000,0.000000,0.000000,0.000000,4000,4199
eclipseSlash,combined,363,400,0.907500,362,400,0.905000,-0.002500,-0.033913,0.028913,0.031413,4000,4199
