vow,aspect,slice,n,gold_earned_mean,end_gold_mean,deck_mean,hp_mean,max_hp_mean
0,duskblade,all,200,847.490,275.360,39.055,28.695,63.240
0,duskblade,win,129,980.915,257.457,42.860,44.488,62.527
0,duskblade,loss,71,605.070,307.887,32.141,0.000,64.535
0,duskblade,boss_act1,192,,210.016,20.458,46.849,71.750
0,duskblade,boss_act2,159,,286.547,31.698,40.824,65.069
0,duskblade,boss_act3,129,,257.457,42.860,44.488,62.527
0,ashwarden,all,200,886.785,289.335,39.990,34.425,70.710
0,ashwarden,win,149,982.933,281.302,42.899,46.208,70.832
0,ashwarden,loss,51,605.882,312.804,31.490,0.000,70.353
0,ashwarden,boss_act1,199,,213.905,20.332,50.000,79.678
0,ashwarden,boss_act2,165,,304.188,31.818,43.691,73.939
0,ashwarden,boss_act3,149,,281.302,42.899,46.208,70.832
5,duskblade,all,200,641.955,255.670,34.550,13.530,64.460
5,duskblade,win,64,939.672,231.500,44.031,42.281,60.969
5,duskblade,loss,136,501.853,267.044,30.088,0.000,66.103
5,duskblade,boss_act1,168,,201.679,21.512,34.500,71.905
5,duskblade,boss_act2,97,,277.639,32.814,34.876,64.144
5,duskblade,boss_act3,64,,231.500,44.031,42.281,60.969
5,ashwarden,all,200,695.625,258.395,35.720,16.515,71.580
5,ashwarden,win,84,938.250,246.548,43.202,39.321,69.190
5,ashwarden,loss,116,519.931,266.974,30.302,0.000,73.310
5,ashwarden,boss_act1,177,,203.689,21.271,38.373,79.955
5,ashwarden,boss_act2,117,,289.179,32.162,33.641,71.949
5,ashwarden,boss_act3,84,,246.548,43.202,39.321,69.190
