vow,aspect,seed,outcome,hp,maxHp,gold,goldEarned,deck,nFights
0,duskblade,4000,loss,0,54,241,586,36,20
0,duskblade,4001,loss,0,72,905,846,37,26
0,duskblade,4002,win,39,62,2,790,43,22
0,duskblade,4003,win,62,62,885,1013,39,28
0,duskblade,4004,win,33,54,28,907,41,23
0,duskblade,4005,loss,0,62,485,516,26,15
0,duskblade,4006,win,52,54,906,847,34,24
0,duskblade,4007,loss,0,72,506,575,30,16
0,duskblade,4008,win,62,62,50,1015,46,24
0,duskblade,4009,win,60,62,567,766,40,26
0,duskblade,4010,win,54,54,302,877,39,22
0,duskblade,4011,win,58,62,65,914,47,26
0,duskblade,4012,win,18,62,31,998,46,25
0,duskblade,4013,win,43,62,536,915,39,21
0,duskblade,4014,loss,0,54,178,824,44,26
0,duskblade,4015,win,57,70,166,901,46,26
0,duskblade,4016,loss,0,64,5,204,21,9
0,duskblade,4017,win,64,64,24,1080,41,21
0,duskblade,4018,loss,0,72,259,314,26,15
0,duskblade,4019,loss,0,80,272,410,21,12
0,duskblade,4020,win,25,54,185,901,43,26
0,duskblade,4021,win,54,54,53,1027,45,26
0,duskblade,4022,loss,0,80,29,439,32,18
0,duskblade,4023,win,43,72,197,1087,45,27
0,duskblade,4024,win,34,62,584,873,38,23
0,duskblade,4025,win,57,64,194,920,46,28
0,duskblade,4026,win,14,62,31,829,39,21
0,duskblade,4027,win,56,80,407,1286,46,29
0,duskblade,4028,win,43,54,146,954,43,22
0,duskblade,4029,win,54,54,42,721,37,20
0,duskblade,4030,win,45,54,129,1027,46,28
0,duskblade,4031,win,59,72,91,903,44,23
0,duskblade,4032,win,17,54,148,974,42,25
0,duskblade,4033,win,38,72,13,1189,53,23
0,duskblade,4034,win,59,62,1087,1180,41,30
0,duskblade,4035,win,54,54,79,1152,46,24
0,duskblade,4036,win,36,62,566,998,45,28
0,duskblade,4037,loss,0,72,410,751,37,23
0,duskblade,4038,loss,0,62,135,452,30,15
0,duskblade,4039,win,53,70,453,1087,38,25
0,duskblade,4040,win,62,62,98,890,41,22
0,duskblade,4041,loss,0,62,649,1166,42,26
0,duskblade,4042,loss,0,64,474,509,29,18
0,duskblade,4043,win,59,72,50,918,44,25
0,duskblade,4044,win,44,72,4,750,44,19
0,duskblade,4045,win,62,72,62,984,46,26
0,duskblade,4046,win,53,54,468,1021,43,22
0,duskblade,4047,loss,0,62,4,562,30,16
0,duskblade,4048,win,22,62,82,797,44,25
0,duskblade,4049,loss,0,72,408,471,28,17
0,duskblade,4050,win,32,62,37,791,42,23
0,duskblade,4051,win,36,72,13,917,48,27
0,duskblade,4052,win,24,62,81,945,48,26
0,duskblade,4053,win,62,62,245,1149,42,25
0,duskblade,4054,win,46,62,896,1131,41,25
0,duskblade,4055,loss,0,64,54,321,28,14
0,duskblade,4056,loss,0,64,104,370,29,15
0,duskblade,4057,win,53,62,26,780,36,21
0,duskblade,4058,win,28,70,260,1067,47,29
0,duskblade,4059,win,62,62,0,1101,48,27
0,duskblade,4060,win,39,62,488,973,39,25
0,duskblade,4061,win,43,54,846,1179,37,24
0,duskblade,4062,win,36,62,242,1012,43,23
0,duskblade,4063,win,54,54,213,956,42,28
0,duskblade,4064,win,39,62,5,1000,46,28
0,duskblade,4065,loss,0,62,799,1013,37,23
0,duskblade,4066,win,67,72,83,1173,48,27
0,duskblade,4067,win,54,54,5,869,41,24
0,duskblade,4068,loss,0,62,278,599,37,22
0,duskblade,4069,loss,0,54,217,350,24,12
0,duskblade,4070,loss,0,54,907,808,33,24
0,duskblade,4071,win,21,54,741,1146,45,27
0,duskblade,4072,win,32,54,711,1046,41,27
0,duskblade,4073,win,38,54,365,936,41,28
0,duskblade,4074,win,41,62,13,939,42,24
0,duskblade,4075,loss,0,54,871,1059,36,24
0,duskblade,4076,win,70,70,1317,1258,38,28
0,duskblade,4077,loss,0,54,118,827,42,24
0,duskblade,4078,win,39,62,149,939,40,25
0,duskblade,4079,loss,0,62,481,1063,44,27
0,duskblade,4080,win,28,62,195,849,44,29
0,duskblade,4081,loss,0,62,544,445,27,16
0,duskblade,4082,loss,0,70,503,404,27,17
0,duskblade,4083,loss,0,72,63,139,21,9
0,duskblade,4084,win,35,62,47,950,40,22
0,duskblade,4085,loss,0,62,307,860,36,21
0,duskblade,4086,win,57,70,456,994,42,27
0,duskblade,4087,win,29,72,65,946,42,25
0,duskblade,4088,win,22,62,448,972,42,27
0,duskblade,4089,win,62,62,60,917,44,23
0,duskblade,4090,win,21,62,65,862,46,26
0,duskblade,4091,win,70,70,905,1157,41,29
0,duskblade,4092,loss,0,72,257,471,25,12
0,duskblade,4093,win,62,62,35,904,48,25
0,duskblade,4094,win,28,54,11,667,39,20
0,duskblade,4095,win,62,62,49,1013,43,24
0,duskblade,4096,win,29,80,183,985,44,25
0,duskblade,4097,win,39,62,40,841,43,27
0,duskblade,4098,win,70,70,429,943,40,26
0,duskblade,4099,loss,0,64,69,129,19,6
0,duskblade,4100,win,40,62,994,1095,39,29
0,duskblade,4101,win,26,62,87,1106,42,26
0,duskblade,4102,loss,0,70,367,587,28,16
0,duskblade,4103,win,20,62,497,1012,44,30
0,duskblade,4104,win,25,62,446,808,37,21
0,duskblade,4105,win,44,70,280,1164,45,28
0,duskblade,4106,win,53,54,667,984,39,24
0,duskblade,4107,win,33,62,373,1133,40,24
0,duskblade,4108,loss,0,62,500,1053,40,25
0,duskblade,4109,loss,0,80,137,507,33,18
0,duskblade,4110,win,31,62,404,1039,43,25
0,duskblade,4111,loss,0,54,411,787,36,23
0,duskblade,4112,win,14,70,70,1130,47,26
0,duskblade,4113,win,62,70,57,1066,44,28
0,duskblade,4114,loss,0,80,131,472,33,17
0,duskblade,4115,win,46,70,454,1017,43,28
0,duskblade,4116,win,34,62,113,974,45,22
0,duskblade,4117,loss,0,62,564,641,32,20
0,duskblade,4118,win,42,54,63,722,44,24
0,duskblade,4119,loss,0,64,214,115,19,8
0,duskblade,4120,loss,0,62,345,646,30,18
0,duskblade,4121,loss,0,72,65,539,34,19
0,duskblade,4122,loss,0,54,157,292,22,10
